image_id,room,source_path,width,height,mean_luminance,luminance_std,luminance_p05,luminance_p95,dynamic_range_p95_p05,dark_area_ratio,bright_area_ratio,highlight_area_ratio,local_contrast_mean,spatial_layering_std,luminance_entropy,warm_pixel_ratio,warmth_index,bright_region_count,bright_region_concentration,highlight_center_x,highlight_center_y
color-temperature/cool-5000k.png,color-temperature,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/color-temperature/cool-5000k.png,1529,1029,0.570168,0.212927,0.152941,0.898039,0.745098,0.070605,0.133731,0.062358,0.089026,0.101478,0.958998,0.2616,0.047541,3,0.494582,0.465245,0.563512
color-temperature/warm-2700k.png,color-temperature,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/color-temperature/warm-2700k.png,1529,1029,0.490699,0.194283,0.121569,0.807843,0.686275,0.093998,0.058803,0.004906,0.084589,0.089792,0.946403,0.881121,0.248749,0,0.0,0.327563,0.215949
light-distribution/hard-directional.png,light-distribution,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/light-distribution/hard-directional.png,1024,1536,0.560261,0.263687,0.086275,0.968627,0.882353,0.11495,0.206598,0.145631,0.0829,0.175694,0.978701,0.531041,0.117262,12,0.236669,0.440556,0.298818
light-distribution/soft-diffuse.png,light-distribution,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/light-distribution/soft-diffuse.png,1024,1536,0.586382,0.247436,0.12549,0.905882,0.780392,0.084743,0.260927,0.079246,0.05582,0.194665,0.970006,0.441941,0.095166,5,0.405401,0.379061,0.134335
task-focus/focused-task.png,task-focus,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/task-focus/focused-task.png,1536,1024,0.409646,0.130364,0.215686,0.631373,0.415686,0.044938,0.00783,0.00332,0.041314,0.064164,0.877158,0.531549,0.086026,0,0.0,0.437875,0.19817
task-focus/uniform-ambient.png,task-focus,D:/_0000上海交通大学/prp/smart-lighting-research/analysis/controlled-generation/images/task-focus/uniform-ambient.png,1536,1024,0.685173,0.132395,0.443137,0.815686,0.372549,0.022685,0.092791,0.017831,0.046746,0.076359,0.830135,0.368586,0.060976,2,0.757775,0.556031,0.236987
