image_id,room,source_path,width,height,mean_luminance,luminance_std,luminance_p05,luminance_p95,dynamic_range_p95_p05,dark_area_ratio,bright_area_ratio,highlight_area_ratio,local_contrast_mean,spatial_layering_std,luminance_entropy,warm_pixel_ratio,warmth_index,bright_region_count,bright_region_concentration,highlight_center_x,highlight_center_y
bedroom/bedroom_heldout_01_pexels_36639777.jpg,bedroom,D:/_0000上海交通大学/prp/smart-lighting-research/data/evaluation/heldout-images/bedroom/bedroom_heldout_01_pexels_36639777.jpg,3939,5908,0.184447,0.185468,0.031373,0.568627,0.537255,0.659259,0.003216,0.002698,0.027263,0.105029,0.806263,0.325962,0.034469,1,1.0,0.126701,0.387731
living_room/living_heldout_01_pexels_31751141.jpg,living_room,D:/_0000上海交通大学/prp/smart-lighting-research/data/evaluation/heldout-images/living_room/living_heldout_01_pexels_31751141.jpg,3024,4032,0.226008,0.225433,0.003922,0.694118,0.690196,0.55307,0.029261,0.017213,0.057983,0.107544,0.884264,0.219555,0.045022,1,1.0,0.41276,0.430053
study/study_heldout_01_pexels_7014764.jpg,study,D:/_0000上海交通大学/prp/smart-lighting-research/data/evaluation/heldout-images/study/study_heldout_01_pexels_7014764.jpg,5922,3948,0.123742,0.130224,0.015686,0.396078,0.380392,0.839785,0.003858,0.001504,0.018626,0.043392,0.775171,0.0517,-0.067258,0,0.0,0.32794,0.483185
